placeID,latitude,longitude,name,address,city,state,country,fax,zip,alcohol,smoking_area,dress_code,accessibility,price,url,Rambience,franchise,area,other_services
134999,18.915421,-99.184871,Kiku Cuernavaca,Revolucion,Cuernavaca,Morelos,Mexico,,,No_Alcohol_Served,none,informal,no_accessibility,medium,kikucuernavaca.com.mx,familiar,,closed,none
132825,22.1473922,-100.983092,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,,78280,No_Alcohol_Served,none,informal,completely,low,,familiar,,open,none
135106,22.1497088,-100.9760928,El RincÑn de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,,78000,Wine-Beer,only at bar,informal,partially,medium,,familiar,,open,none
132667,23.7526973,-99.1633594,little pizza Emilio Portes Gil,calle emilio portes gil,victoria ,tamaulipas,,,,No_Alcohol_Served,none,informal,completely,low,,familiar,,closed,none
132613,23.7529035,-99.165076,carnitas_mata,lic. Emilio portes gil,victoria,Tamaulipas,Mexico,,,No_Alcohol_Served,permitted,informal,completely,medium,,familiar,,closed,none
135040,22.135617,-100.969709,Restaurant los Compadres,Camino a Simon Diaz 155 Centro,San Luis Potosi,SLP,Mexico,,74000,Wine-Beer,none,informal,no_accessibility,high,,familiar,,closed,none
132732,23.7543569,-99.171288,Taqueria EL amigo ,Calle Mezquite Fracc Framboyanes,Cd Victoria,Tamaulipas,Mexico,,87018,No_Alcohol_Served,none,casual,completely,low,,familiar,,open,none
132875,22.1499013,-100.9937793,shi ro ie,,,,,,,Wine-Beer,section,informal,no_accessibility,high,,familiar,,open,Internet
132609,23.7602683,-99.1658646,Pollo_Frito_Buenos_Aires,tampico,victoria,Tamaulipas,Mexico,,,No_Alcohol_Served,not permitted,informal,completely,low,,quiet,,closed,none
135082,22.151448,-100.915099,la Estrella de Dimas,Villa de Pozos 192 Villa de Pozos,San Luis Potosi,SLP,Mexico,,78421,No_Alcohol_Served,none,informal,no_accessibility,medium,,familiar,,closed,none
135070,22.152918,-100.915164,Restaurante 75,Villa de Pozos 4497 Villa de Pozos,San Luis Potosi,SLP,Mexico,,78421,No_Alcohol_Served,none,informal,no_accessibility,medium,,familiar,,closed,none
135069,22.140129,-100.944872,Abondance Restaurante Bar,Industrias 908 Valle Dorado,San Luis Potosi,SLP,Mexico,,78399,Wine-Beer,none,informal,no_accessibility,low,,familiar,,closed,none
135065,22.14958,-100.999557,El angel Restaurante,Venustiano Carranza 1625 Jardin,San Luis Potosi,SLP,Mexico,,78250,Wine-Beer,section,informal,no_accessibility,high,,familiar,,closed,none
135076,22.181017,-100.973614,Restaurante Pueblo Bonito,Mexico 2015 Providencia,San Luis Potosi,SLP,Mexico,,78395,Wine-Beer,none,informal,no_accessibility,high,,familiar,,closed,none
